regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Brasil,,,76,,,,2020-07-13,29,210147125,1884967,72833,1154837,657297,
Norte,RO,,11,,,,2020-07-13,29,1777225,27050,647,,,
Norte,AC,,12,,,,2020-07-13,29,881935,16260,430,,,
Norte,AM,,13,,,,2020-07-13,29,4144597,84412,3048,,,
Norte,RR,,14,,,,2020-07-13,29,605761,22627,397,,,
Norte,PA,,15,,,,2020-07-13,29,8602865,126509,5293,,,
Norte,AP,,16,,,,2020-07-13,29,845731,31552,478,,,
Norte,TO,,17,,,,2020-07-13,29,1572866,15307,259,,,
Nordeste,MA,,21,,,,2020-07-13,29,7075181,99830,2501,,,
Nordeste,PI,,22,,,,2020-07-13,29,3273227,33359,960,,,
Nordeste,CE,,23,,,,2020-07-13,29,9132078,137206,6947,,,
Nordeste,RN,,24,,,,2020-07-13,29,3506853,39800,1404,,,
Nordeste,PB,,25,,,,2020-07-13,29,4018127,61108,1302,,,
Nordeste,PE,,26,,,,2020-07-13,29,9557071,72901,5652,,,
Nordeste,AL,,27,,,,2020-07-13,29,3337357,46296,1297,,,
Nordeste,SE,,28,,,,2020-07-13,29,2298696,38221,1012,,,
Nordeste,BA,,29,,,,2020-07-13,29,14873064,106891,2535,,,
Sudeste,MG,,31,,,,2020-07-13,29,21168791,76822,1615,,,
Sudeste,ES,,32,,,,2020-07-13,29,4018650,63879,2040,,,
Sudeste,RJ,,33,,,,2020-07-13,29,17264943,132044,11474,,,
Sudeste,SP,,35,,,,2020-07-13,29,45919049,374607,17907,,,
Sul,PR,,41,,,,2020-07-13,29,11433957,43582,1089,,,
Sul,SC,,42,,,,2020-07-13,29,7164788,43815,517,,,
Sul,RS,,43,,,,2020-07-13,29,11377239,39656,995,,,
Centro-Oeste,MS,,50,,,,2020-07-13,29,2778986,13461,167,,,
Centro-Oeste,MT,,51,,,,2020-07-13,29,3484466,28792,1085,,,
Centro-Oeste,GO,,52,,,,2020-07-13,29,7018354,36696,852,,,
Centro-Oeste,DF,,53,,,,2020-07-13,29,3015268,72284,930,,,
Norte,RO,,11,110000,,,2020-07-13,29,,0,0,,,
Norte,RO,Alta Floresta D'Oeste,11,110001,11005,ZONA DA MATA,2020-07-13,29,22945,156,1,,,0
Norte,RO,Ariquemes,11,110002,11001,VALE DO JAMARI,2020-07-13,29,107863,1731,29,,,0
Norte,RO,Cabixi,11,110003,11006,CONE SUL,2020-07-13,29,5312,21,2,,,0
Norte,RO,Cacoal,11,110004,11002,CAFE,2020-07-13,29,85359,398,5,,,0
Norte,RO,Cerejeiras,11,110005,11006,CONE SUL,2020-07-13,29,16323,43,3,,,0
Norte,RO,Colorado do Oeste,11,110006,11006,CONE SUL,2020-07-13,29,15882,51,0,,,0
Norte,RO,Corumbiara,11,110007,11006,CONE SUL,2020-07-13,29,7391,5,0,,,0
Norte,RO,Costa Marques,11,110008,11007,VALE DO GUAPORE,2020-07-13,29,18331,31,1,,,0
Norte,RO,Espigão D'Oeste,11,110009,11002,CAFE,2020-07-13,29,32374,110,3,,,0
Norte,RO,Guajará-Mirim,11,110010,11004,MADEIRA-MAMORE,2020-07-13,29,46174,1718,59,,,0
Norte,RO,Jaru,11,110011,11003,CENTRAL,2020-07-13,29,51775,896,10,,,0
Norte,RO,Ji-Paraná,11,110012,11003,CENTRAL,2020-07-13,29,128969,701,12,,,0
Norte,RO,Machadinho D'Oeste,11,110013,11001,VALE DO JAMARI,2020-07-13,29,39991,160,2,,,0
Norte,RO,Nova Brasilândia D'Oeste,11,110014,11005,ZONA DA MATA,2020-07-13,29,20474,44,0,,,0
Norte,RO,Ouro Preto do Oeste,11,110015,11003,CENTRAL,2020-07-13,29,36035,265,8,,,0
Norte,RO,Pimenta Bueno,11,110018,11002,CAFE,2020-07-13,29,36660,228,4,,,0
Norte,RO,Porto Velho,11,110020,11004,MADEIRA-MAMORE,2020-07-13,29,529544,15801,435,,,1
Norte,RO,Presidente Médici,11,110025,11003,CENTRAL,2020-07-13,29,18986,82,3,,,0
Norte,RO,Rio Crespo,11,110026,11001,VALE DO JAMARI,2020-07-13,29,3764,44,0,,,0
Norte,RO,Rolim de Moura,11,110028,11005,ZONA DA MATA,2020-07-13,29,55058,468,6,,,0
Norte,RO,Santa Luzia D'Oeste,11,110029,11005,ZONA DA MATA,2020-07-13,29,6495,19,0,,,0
Norte,RO,Vilhena,11,110030,11006,CONE SUL,2020-07-13,29,99854,742,10,,,0
Norte,RO,São Miguel do Guaporé,11,110032,11003,CENTRAL,2020-07-13,29,23005,728,9,,,0
Norte,RO,Nova Mamoré,11,110033,11004,MADEIRA-MAMORE,2020-07-13,29,30583,399,5,,,0
Norte,RO,Alvorada D'Oeste,11,110034,11003,CENTRAL,2020-07-13,29,14411,29,1,,,0
Norte,RO,Alto Alegre dos Parecis,11,110037,11005,ZONA DA MATA,2020-07-13,29,13241,60,1,,,0
Norte,RO,Alto Paraíso,11,110040,11001,VALE DO JAMARI,2020-07-13,29,21428,93,4,,,0
Norte,RO,Buritis,11,110045,11001,VALE DO JAMARI,2020-07-13,29,39654,179,4,,,0
Norte,RO,Novo Horizonte do Oeste,11,110050,11005,ZONA DA MATA,2020-07-13,29,8538,29,1,,,0
Norte,RO,Cacaulândia,11,110060,11001,VALE DO JAMARI,2020-07-13,29,6230,16,0,,,0
Norte,RO,Campo Novo de Rondônia,11,110070,11001,VALE DO JAMARI,2020-07-13,29,14139,68,3,,,0
Norte,RO,Candeias do Jamari,11,110080,11004,MADEIRA-MAMORE,2020-07-13,29,26693,751,13,,,1
Norte,RO,Castanheiras,11,110090,11005,ZONA DA MATA,2020-07-13,29,3052,23,0,,,0
Norte,RO,Chupinguaia,11,110092,11006,CONE SUL,2020-07-13,29,11182,15,0,,,0
Norte,RO,Cujubim,11,110094,11001,VALE DO JAMARI,2020-07-13,29,25215,121,4,,,0
Norte,RO,Governador Jorge Teixeira,11,110100,11003,CENTRAL,2020-07-13,29,7767,46,0,,,0
