regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,obitosAcumulado,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Brasil,,,76,,,,2020-10-18,43,210147125,5235344,153905,4650030,431409,
Norte,RO,,11,,,,2020-10-18,43,1777225,68907,1421,,,
Norte,AC,,12,,,,2020-10-18,43,881935,29718,679,,,
Norte,AM,,13,,,,2020-10-18,43,4144597,151597,4332,,,
Norte,RR,,14,,,,2020-10-18,43,605761,54181,681,,,
Norte,PA,,15,,,,2020-10-18,43,8602865,241242,6677,,,
Norte,AP,,16,,,,2020-10-18,43,845731,50191,731,,,
Norte,TO,,17,,,,2020-10-18,43,1572866,72594,1044,,,
Nordeste,MA,,21,,,,2020-10-18,43,7075181,181051,3930,,,
Nordeste,PI,,22,,,,2020-10-18,43,3273227,106200,2286,,,
Nordeste,CE,,23,,,,2020-10-18,43,9132078,265102,9210,,,
Nordeste,RN,,24,,,,2020-10-18,43,3506853,77271,2552,,,
Nordeste,PB,,25,,,,2020-10-18,43,4018127,128435,2993,,,
Nordeste,PE,,26,,,,2020-10-18,43,9557071,156029,8487,,,
Nordeste,AL,,27,,,,2020-10-18,43,3337357,89493,2177,,,
Nordeste,SE,,28,,,,2020-10-18,43,2298696,81564,2134,,,
Nordeste,BA,,29,,,,2020-10-18,43,14873064,335351,7316,,,
Sudeste,MG,,31,,,,2020-10-18,43,21168791,335683,8446,,,
Sudeste,ES,,32,,,,2020-10-18,43,4018650,144415,3713,,,
Sudeste,RJ,,33,,,,2020-10-18,43,17264943,290878,19765,,,
Sudeste,SP,,35,,,,2020-10-18,43,45919049,1063602,38020,,,
Sul,PR,,41,,,,2020-10-18,43,11433957,199524,4923,,,
Sul,SC,,42,,,,2020-10-18,43,7164788,235159,2967,,,
Sul,RS,,43,,,,2020-10-18,43,11377239,223016,5346,,,
Centro-Oeste,MS,,50,,,,2020-10-18,43,2778986,77123,1493,,,
Centro-Oeste,MT,,51,,,,2020-10-18,43,3484466,135247,3663,,,
Centro-Oeste,GO,,52,,,,2020-10-18,43,7018354,236814,5374,,,
Centro-Oeste,DF,,53,,,,2020-10-18,43,3015268,204957,3545,,,
Norte,RO,,11,110000,,,2020-10-18,43,,0,0,,,
Norte,RO,Alta Floresta D'Oeste,11,110001,11005,ZONA DA MATA,2020-10-18,43,22945,864,11,,,0
Norte,RO,Ariquemes,11,110002,11001,VALE DO JAMARI,2020-10-18,43,107863,5642,95,,,0
Norte,RO,Cabixi,11,110003,11006,CONE SUL,2020-10-18,43,5312,135,5,,,0
Norte,RO,Cacoal,11,110004,11002,CAFE,2020-10-18,43,85359,2448,34,,,0
Norte,RO,Cerejeiras,11,110005,11006,CONE SUL,2020-10-18,43,16323,271,6,,,0
Norte,RO,Colorado do Oeste,11,110006,11006,CONE SUL,2020-10-18,43,15882,240,4,,,0
Norte,RO,Corumbiara,11,110007,11006,CONE SUL,2020-10-18,43,7391,47,3,,,0
Norte,RO,Costa Marques,11,110008,11007,VALE DO GUAPORE,2020-10-18,43,18331,310,6,,,0
Norte,RO,Espigão D'Oeste,11,110009,11002,CAFE,2020-10-18,43,32374,597,12,,,0
Norte,RO,Guajará-Mirim,11,110010,11004,MADEIRA-MAMORE,2020-10-18,43,46174,3016,90,,,0
Norte,RO,Jaru,11,110011,11003,CENTRAL,2020-10-18,43,51775,1906,29,,,0
Norte,RO,Ji-Paraná,11,110012,11003,CENTRAL,2020-10-18,43,128969,3266,81,,,0
Norte,RO,Machadinho D'Oeste,11,110013,11001,VALE DO JAMARI,2020-10-18,43,39991,1534,9,,,0
Norte,RO,Nova Brasilândia D'Oeste,11,110014,11005,ZONA DA MATA,2020-10-18,43,20474,337,3,,,0
Norte,RO,Ouro Preto do Oeste,11,110015,11003,CENTRAL,2020-10-18,43,36035,989,26,,,0
Norte,RO,Pimenta Bueno,11,110018,11002,CAFE,2020-10-18,43,36660,683,13,,,0
Norte,RO,Porto Velho,11,110020,11004,MADEIRA-MAMORE,2020-10-18,43,529544,31124,747,,,1
Norte,RO,Presidente Médici,11,110025,11003,CENTRAL,2020-10-18,43,18986,531,9,,,0
Norte,RO,Rio Crespo,11,110026,11001,VALE DO JAMARI,2020-10-18,43,3764,125,0,,,0
Norte,RO,Rolim de Moura,11,110028,11005,ZONA DA MATA,2020-10-18,43,55058,1738,22,,,0
Norte,RO,Santa Luzia D'Oeste,11,110029,11005,ZONA DA MATA,2020-10-18,43,6495,155,1,,,0
Norte,RO,Vilhena,11,110030,11006,CONE SUL,2020-10-18,43,99854,3899,66,,,0
Norte,RO,São Miguel do Guaporé,11,110032,11003,CENTRAL,2020-10-18,43,23005,908,16,,,0
Norte,RO,Nova Mamoré,11,110033,11004,MADEIRA-MAMORE,2020-10-18,43,30583,1229,7,,,0
Norte,RO,Alvorada D'Oeste,11,110034,11003,CENTRAL,2020-10-18,43,14411,146,7,,,0
Norte,RO,Alto Alegre dos Parecis,11,110037,11005,ZONA DA MATA,2020-10-18,43,13241,208,9,,,0
Norte,RO,Alto Paraíso,11,110040,11001,VALE DO JAMARI,2020-10-18,43,21428,378,8,,,0
Norte,RO,Buritis,11,110045,11001,VALE DO JAMARI,2020-10-18,43,39654,744,8,,,0
Norte,RO,Novo Horizonte do Oeste,11,110050,11005,ZONA DA MATA,2020-10-18,43,8538,70,1,,,0
Norte,RO,Cacaulândia,11,110060,11001,VALE DO JAMARI,2020-10-18,43,6230,84,0,,,0
Norte,RO,Campo Novo de Rondônia,11,110070,11001,VALE DO JAMARI,2020-10-18,43,14139,168,6,,,0
Norte,RO,Candeias do Jamari,11,110080,11004,MADEIRA-MAMORE,2020-10-18,43,26693,1434,32,,,1
Norte,RO,Castanheiras,11,110090,11005,ZONA DA MATA,2020-10-18,43,3052,84,2,,,0
Norte,RO,Chupinguaia,11,110092,11006,CONE SUL,2020-10-18,43,11182,741,7,,,0
Norte,RO,Cujubim,11,110094,11001,VALE DO JAMARI,2020-10-18,43,25215,399,7,,,0
Norte,RO,Governador Jorge Teixeira,11,110100,11003,CENTRAL,2020-10-18,43,7767,106,2,,,0
Norte,RO,Itapuã do Oeste,11,110110,11004,MADEIRA-MAMORE,2020-10-18,43,10458,362,8,,,0
Norte,RO,Ministro Andreazza,11,110120,11002,CAFE,2020-10-18,43,9660,39,1,,,0
Norte,RO,Mirante da Serra,11,110130,11003,CENTRAL,2020-10-18,43,10947,120,3,,,0
Norte,RO,Monte Negro,11,110140,11001,VALE DO JAMARI,2020-10-18,43,15852,280,4,,,0
Norte,RO,Nova União,11,110143,11003,CENTRAL,2020-10-18,43,6970,200,2,,,0
Norte,RO,Parecis,11,110145,11005,ZONA DA MATA,2020-10-18,43,6074,25,1,,,0
Norte,RO,Pimenteiras do Oeste,11,110146,11006,CONE SUL,2020-10-18,43,2169,201,6,,,0
Norte,RO,Primavera de Rondônia,11,110147,11002,CAFE,2020-10-18,43,2856,20,1,,,0
Norte,RO,São Felipe D'Oeste,11,110148,11002,CAFE,2020-10-18,43,5172,81,1,,,0
Norte,RO,São Francisco do Guaporé,11,110149,11007,VALE DO GUAPORE,2020-10-18,43,20266,304,3,,,0
Norte,RO,Seringueiras,11,110150,11007,VALE DO GUAPORE,2020-10-18,43,11856,138,0,,,0
Norte,RO,Teixeirópolis,11,110155,11003,CENTRAL,2020-10-18,43,4308,37,1,,,0
Norte,RO,Theobroma,11,110160,11003,CENTRAL,2020-10-18,43,10444,117,0,,,0
Norte,RO,Urupá,11,110170,11003,CENTRAL,2020-10-18,43,11467,191,3,,,0
Norte,RO,Vale do Anari,11,110175,11003,CENTRAL,2020-10-18,43,11204,152,1,,,0
Norte,RO,Vale do Paraíso,11,110180,11003,CENTRAL,2020-10-18,43,6825,84,2,,,0
Norte,AC,Acrelândia,12,120001,12002,BAIXO ACRE E PURUS,2020-10-18,43,15256,480,10,,,0
Norte,AC,Assis Brasil,12,120005,12001,ALTO ACRE,2020-10-18,43,7417,700,9,,,0
Norte,AC,Brasiléia,12,120010,12001,ALTO ACRE,2020-10-18,43,26278,1164,19,,,0
Norte,AC,Bujari,12,120013,12002,BAIXO ACRE E PURUS,2020-10-18,43,10266,392,7,,,0
Norte,AC,Capixaba,12,120017,12002,BAIXO ACRE E PURUS,2020-10-18,43,11733,255,8,,,0
